2022/07/02 12:15
プロジェクトの翻訳状況

            	  分節数	   単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	21449	199994	   1182375	   1529114	   57	
未翻訳：        	11787	 58386	    393008	    571534	   57	
繰り返しを除いた：   	11533	172743	   1020478	   1330636	   57	
繰り返しを除いた未翻訳：	 3344	 42827	    298166	    452451	   57	


ファイルごとの翻訳状況：

ファイル名                                        	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
draft-agl-tls-chacha20poly1305-03.txt        	    468	   360	        186	            79	   2353	   651	       2352	           651	         14573	         5844	             14290	                 5563	         18725	         8132	             18442	                 7851	
draft-bider-ssh-quic-09.txt                  	   1684	  1125	        762	           239	   9242	  1600	       8989	          1547	         53914	        10668	             51797	                 9663	         68416	        15743	             66096	                14731	
draft-ietf-secsh-filexfer-02.txt             	    914	   554	        431	            88	   6679	  1345	       6512	          1279	         37342	         8960	             36026	                 8220	         47264	        12921	             45711	                12045	
draft-ietf-secsh-scp-sftp-ssh-uri-04.txt     	    856	   688	        214	            66	   2969	   937	       2813	           905	         17138	         6140	             15647	                 5394	         21533	         8146	             19896	                 7375	
draft-josefsson-eddsa-ed25519-03.txt         	   1043	   835	        342	           169	   4912	  2483	       4318	          2036	         28306	        16637	             24741	                13938	         36558	        22205	             32230	                18886	
draft-miller-secsh-compression-delayed-00.txt	    226	   182	         46	            20	   1138	   563	        584	           185	          6686	         3290	              3572	                 1167	          8345	         4334	              4605	                 1763	
draft-miller-secsh-umac-01.txt               	    400	   348	         61	            33	   1328	   611	        821	           322	          7512	         3607	              4482	                 1838	          9303	         4651	              5702	                 2535	
draft-miller-ssh-agent-02.txt                	    958	   723	        322	           113	   3882	  1137	       3516	           951	         23690	         8530	             20935	                 6860	         33066	        14998	             29837	                13036	
draft-miller-ssh-agent.txt                   	    959	   718	         34	            28	   3880	  1037	        525	           427	         23765	         8076	              3279	                 2749	         33009	        14280	              5223	                 4561	
PROTOCOL.agent.txt                           	     31	     7	         28	             5	    433	    46	        430	            44	          2689	          412	              2683	                  408	          3013	          423	              3007	                  419	
PROTOCOL.certkeys.txt                        	     96	    11	         95	            11	   1582	   217	       1564	           217	          9474	         1571	              9358	                 1571	         12440	         2169	             12309	                 2169	
PROTOCOL.chacha20poly1305.txt                	     40	     4	         39	             4	    758	    56	        757	            56	          3937	          380	              3916	                  380	          4568	          422	              4547	                  422	
PROTOCOL.key.txt                             	     25	     9	         20	             5	    242	    74	        237	            70	          1326	          507	              1316	                  499	          1494	          533	              1484	                  525	
PROTOCOL.krl.txt                             	     78	    22	         65	            15	    722	   107	        688	           100	          4568	         1015	              4397	                  995	          5112	         1039	              4920	                 1019	
PROTOCOL.mux.txt                             	    108	    34	         94	            24	   1317	   359	       1285	           349	          7876	         2640	              7723	                 2618	          8868	         2812	              8698	                 2790	
PROTOCOL.sshsig.txt                          	     39	     7	         34	             5	    467	    52	        439	            50	          2790	          575	              2647	                  571	          3282	          714	              3118	                  710	
PROTOCOL.txt                                 	    198	    51	        181	            38	   2610	   399	       2573	           386	         16025	         3250	             15842	                 3204	         18071	         3423	             17870	                 3377	
PROTOCOL.u2f.txt                             	     95	    29	         94	            29	   1597	   454	       1596	           454	         10212	         3891	             10191	                 3891	         11454	         4146	             11433	                 4146	
rfc4250.txt                                  	    428	   149	        367	           111	   4674	  1700	       4282	          1357	         30240	        11204	             28065	                 9397	         41961	        16623	             39410	                14466	
rfc4251.txt                                  	    643	   156	        556	           102	   9565	  1749	       8765	          1140	         54290	        10730	             49682	                 7253	         69306	        16026	             63850	                11879	
rfc4252.txt                                  	    309	   104	        234	            54	   4386	  1416	       3586	           801	         26225	         8801	             21568	                 5269	         32903	        12187	             27372	                 7967	
rfc4253.txt                                  	    650	   172	        540	            98	   8907	  2190	       7850	          1388	         50942	        13986	             44822	                 9341	         65550	        20632	             58049	                14882	
rfc4254.txt                                  	    505	   171	        346	            97	   6162	  1878	       4688	          1093	         36555	        13284	             28298	                 8768	         47853	        18974	             37480	                13370	
rfc4255.txt                                  	    183	    70	        138	            44	   2442	   843	       2015	           515	         13742	         4638	             11364	                 2929	         17675	         6558	             14859	                 4501	
rfc4256.txt                                  	    209	    72	        161	            43	   3260	   969	       2733	           631	         18721	         5832	             15883	                 4034	         23842	         8430	             20448	                 6270	
rfc4335.txt                                  	    100	    44	         62	            22	   1533	   601	       1123	           276	          8673	         3447	              6380	                 1727	         10968	         4722	              8247	                 2653	
rfc4344.txt                                  	    224	    68	        167	            34	   3765	   986	       3250	           627	         21215	         5531	             18356	                 3670	         26566	         7873	             23183	                 5641	
rfc4345.txt                                  	     82	    44	         44	            19	   1198	   651	        750	           304	          6750	         3665	              4292	                 1835	          8598	         4914	              5658	                 2702	
rfc4419.txt                                  	    189	    78	        125	            36	   2645	   936	       2111	           555	         13498	         5113	             10658	                 3166	         17435	         7086	             14039	                 4732	
rfc4432.txt                                  	    151	    61	        100	            32	   2291	   794	       1791	           441	         11921	         4321	              9214	                 2471	         15451	         6216	             12215	                 3978	
rfc4462.txt                                  	    546	   183	        421	           104	   8543	  1720	       7562	          1282	         48951	        10448	             43846	                 8212	         62678	        16115	             56550	                13474	
rfc4716.txt                                  	    186	    69	        137	            37	   2308	   858	       1912	           535	         14260	         6163	             12009	                 4469	         17653	         7987	             14958	                 5915	
rfc4742.txt                                  	    152	    65	        104	            35	   2345	   965	       1847	           580	         13590	         5696	             10767	                 3620	         17114	         7711	             13737	                 5190	
rfc4819.txt                                  	    916	   681	        292	            96	   4247	  1179	       3524	           742	         24128	         7509	             19655	                 4696	         30658	        10735	             25463	                 7483	
rfc5114.txt                                  	    381	   264	        314	           224	   5683	  3622	       5029	          3192	         35822	        24872	             32525	                22677	         47668	        34454	             43642	                31753	
rfc5592.txt                                  	    745	   264	        589	           138	  10352	  2063	       9816	          1746	         63020	        13033	             60111	                11422	         79469	        18178	             76048	                16277	
rfc5647.txt                                  	    205	    65	        151	            31	   2534	   583	       2273	           423	         15149	         3861	             13425	                 2850	         20144	         6270	             17890	                 4824	
rfc5656.txt                                  	    375	   108	        297	            68	   5459	  1298	       4900	          1053	         32416	         8964	             29252	                 7574	         42382	        14047	             38437	                12300	
rfc6187.txt                                  	    642	   473	        230	            84	   4430	  1240	       4044	          1010	         26019	         8052	             23377	                 6344	         33685	        12113	             30552	                10064	
rfc6239.txt                                  	    259	    77	        203	            44	   3440	   665	       3061	           510	         21155	         4724	             18609	                 3522	         27818	         6993	             24734	                 5532	
rfc6242.txt                                  	    507	   374	        135	            38	   2996	   942	       2272	           560	         16994	         5546	             12573	                 3081	         21606	         7872	             16327	                 4904	
rfc6594.txt                                  	    185	    80	        132	            51	   1969	   746	       1719	           649	         12940	         5644	             11552	                 5122	         16692	         8001	             15071	                 7387	
rfc6668.txt                                  	     80	    44	         44	            23	   1090	   570	        799	           395	          6251	         3347	              4593	                 2369	          8301	         4853	              6305	                 3652	
rfc7076.txt                                  	    203	    66	        144	            36	   2603	   692	       2225	           555	         15555	         4460	             13348	                 3594	         19595	         6398	             16884	                 5262	
rfc7479.txt                                  	     73	    38	         41	            23	    755	   341	        494	           230	          4858	         2465	              3342	                 1833	          6139	         3318	              4357	                 2575	
rfc8160.txt                                  	    270	   224	         44	            20	    849	   328	        622	           207	          4993	         2066	              3461	                 1214	          6440	         2910	              4678	                 1932	
